id,title,release_year,rating,runtime,director_id
201,The Seventh Seal,1957,8.1,96,59
202,How to Train Your Dragon,2010,8.1,98,32
203,"Monsters, Inc.",2001,8.1,92,107
204,Dead Poets Society,1989,8.1,128,110
205,Jaws,1975,8.1,124,135
206,Room,2015,8.1,118,84
207,The Big Lebowski,1998,8.1,117,67
208,Tokyo Story,1953,8.1,136,153
209,The Passion of Joan of Arc,1928,8.1,114,16
210,Ford v Ferrari,2019,8,152,63
211,Hotel Rwanda,2004,8,121,139
212,Rocky,1976,8,120,70
213,Platoon,1986,8,120,102
214,Ratatouille,2007,8,111,12
215,Spotlight,2015,8,129,145
216,Logan,2017,8,137,63
217,The Terminator,1984,8,107,62
218,Stand by Me,1986,8,89,116
219,Rush,2013,8,123,124
220,Network,1976,8,121,130
221,Before Sunset,2004,8,80,113
222,Into the Wild,2007,8,148,127
223,The Wizard of Oz,1939,8,102,147
224,The Best Years of Our Lives,1946,8,170,151
225,Groundhog Day,1993,8,101,56
226,The Exorcist,1973,8,122,150
227,The Incredibles,2004,8,115,12
228,La haine,1995,8,98,92
229,To Be or Not to Be,1942,8,99,36
230,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8,143,52
231,Pather Panchali,1955,8,125,126
232,Hachi: A Dog's Tale,2009,8,93,82
233,The Grapes of Wrath,1940,8,129,69
234,The Battle of Algiers,1966,8,121,50
235,Jai Bhim,2021,8,164,137
236,My Father and My Son,2005,8,112,154
237,Amores Perros,2000,8,154,4
238,Rebecca,1940,8,130,5
239,Cool Hand Luke,1967,8,127,136
240,The Handmaiden,2016,8,145,105
241,The Sound of Music,1965,8,172,118
242,The 400 Blows,1959,8,99,44
243,It Happened One Night,1934,8,105,42
244,Persona,1966,8,83,59
245,Life of Brian,1979,8,94,141
246,The Iron Giant,1999,8,86,12
247,The Help,2011,8,146,138
248,Aladdin,1992,8,90,123
249,Dersu Uzala,1975,8,142,3
250,Dances with Wolves,1990,8,181,80
