id,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct
527,35,38017728,2022,11:49,1.06,2.71,0.69,2.03,0.2,0.26,0.54,1.23,1.77,0.6,0.37,0.11,0.51,1.4,3.0,0.389,0.338,0.778
528,70,38017729,2022,18:00,2.57,6.0,0.93,3.03,0.59,0.93,0.71,2.04,2.76,0.84,0.43,0.27,0.81,1.53,6.66,0.429,0.307,0.631
529,28,38017730,2022,14:30,1.64,3.07,0.0,0.14,0.64,0.89,1.68,2.0,3.68,0.86,0.36,0.68,0.54,2.0,3.93,0.535,0.0,0.72
530,9,44477085,2022,15:00,2.11,4.67,0.11,1.33,1.89,2.44,0.22,0.67,0.89,1.67,0.44,0.11,0.44,1.11,6.22,0.452,0.083,0.773
531,15,38017731,2022,7:08,0.8,2.67,0.27,1.87,0.13,0.13,0.27,0.73,1.0,0.27,0.4,0.13,0.33,0.8,2.0,0.3,0.143,1.0
532,24,38017732,2022,7:22,2.04,3.88,0.25,0.71,0.67,1.13,0.79,1.33,2.13,0.83,0.21,0.08,0.5,1.17,5.0,0.527,0.353,0.593
533,35,38017733,2022,9:54,1.51,3.57,1.26,3.0,0.11,0.11,0.17,1.11,1.29,0.63,0.17,0.0,0.26,0.89,4.4,0.424,0.419,1.0
534,18,38017734,2022,13:26,2.06,3.67,0.39,1.11,0.94,1.22,0.83,2.06,2.89,0.67,0.67,0.06,0.39,1.17,5.44,0.561,0.35,0.773
535,17,38017735,2022,3:56,0.47,1.12,0.18,0.53,0.12,0.18,0.35,0.65,1.0,0.24,0.18,0.12,0.12,0.53,1.24,0.421,0.333,0.667
536,7,38017736,2022,5:51,0.43,1.29,0.43,1.14,0.0,0.0,0.14,0.86,1.0,0.57,0.0,0.0,0.0,0.43,1.29,0.333,0.375,0.0
537,5,38017737,2022,6:00,0.4,1.8,0.4,1.6,0.6,0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.2,1.8,0.222,0.25,1.0
538,52,38017739,2022,14:47,2.21,6.0,1.21,3.67,0.67,0.85,0.6,1.06,1.65,0.81,0.29,0.15,0.75,1.19,6.31,0.369,0.33,0.795
539,2,43516144,2022,2:30,1.0,2.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,0.0,0.0
